mathur_category	ccpa_category	ccpa_description
Scarcity	False Activity Messages	Misrepresenting the demand for or availability of a good or service
Social Proof	False Activity Messages	Misrepresenting the demand for or availability of a good or service
Urgency	Creating a False Sense of Urgency	Falsely creating a sense of urgency to pressure consumers to act
Misdirection	Trick Wording	Using confusing language to steer consumers toward a particular choice
Obstruction	Hard to Cancel	Making it difficult for consumers to cancel a service or subscription
Sneaking	Hidden Information	Concealing material information from consumers
Sneaking	Hidden Costs	Adding unexpected charges at the point of sale
Forced Action	Forced Enrollment	Requiring consumers to sign up for unrelated services
Forced Action	Unauthorized Charges	Charging consumers without clear consent
Misdirection	Asymmetric Choice	Presenting choices in a way that steers consumers toward the option preferred by the business
Obstruction	Endless Loop	Creating a circular process that prevents consumers from completing an action
Urgency	Countdown Timer	Using fake or misleading countdown timers to create false urgency
Social Proof	Testimonials of Uncertain Origin	Displaying reviews or endorsements that may not be authentic
